"EEF","GP","FTM","PTS","FTA","TARGET_5Yrs"
4.3,1,2,3.8,1,"Yes"
3.6,1,2,3.8,2,"No"
3.6,1,2,3.8,2,"Yes"
4.3,1,2,3.8,1,"No"
4.3,1,2,3.8,1,"Yes"
3.6,1,2,3.8,2,"No"
3.6,1,2,3.8,2,"Yes"
4.3,2,2,3.3,1,"No"
3.6,2,2,3.3,2,"No"
3.6,2,2,3.3,2,"Yes"
4.3,2,2,3.3,1,"No"
4.3,2,2,3.3,1,"Yes"
3.6,2,2,3.3,2,"No"
11.5,3,2,4.3,1.1,"Yes"
23.5,3,3,13.6,3.2,"Yes"
3.8,2,1,2,0.5,"Yes"
2.2,1,1,2.2,1.3,"Yes"
7.9,2,2,6.9,1.7,"Yes"
3.6,1,2,3.4,1.6,"No"
3.9,2,1,3.2,0.8,"No"
5.6,1,2,4.6,1.2,"No"
8,1,2,7,1.7,"No"
12,2,2,8.5,1.4,"Yes"
3,2,1,2.1,0.3,"No"
13.4,2,3,12.6,2.6,"No"
6.8,2,2,6.6,1.2,"Yes"
2.8,1,1,1.1,0.4,"No"
11.6,2,2,7.4,2.8,"No"
5.9,3,2,5.4,1.8,"Yes"
7.6,1,2,4.5,1.6,"Yes"
5,1,1,4,0.3,"No"
9.3,2,3,8.2,2.9,"Yes"
12.6,3,2,9.4,1.1,"Yes"
12.1,2,2,8.2,1.7,"Yes"
6.5,2,2,4.5,1.4,"Yes"
13.1,2,3,12,3.9,"Yes"
8.9,2,2,5.5,1.3,"Yes"
10.3,1,2,5.7,2.7,"No"
8.3,1,2,5.7,2.3,"No"
10.3,2,2,7.4,2.7,"No"
8.3,2,2,7.4,2.3,"No"
16.2,3,3,13.9,3,"Yes"
11.9,2,2,10.9,1.4,"Yes"
8,2,2,6.2,1.6,"Yes"
4.9,2,1,2.7,0.6,"No"
31.8,3,3,28.2,9.1,"Yes"
10.8,2,2,5,3.2,"Yes"
5.8,2,2,5,1,"No"
10.8,2,2,5,3.2,"No"
10.8,2,2,5,3.2,"Yes"
5.8,2,2,5,1,"No"
5.8,2,2,5,1,"Yes"
10.8,3,2,6.9,3.2,"No"
10.8,3,2,6.9,3.2,"Yes"
10.8,3,2,6.9,3.2,"No"
10.8,3,2,6.9,3.2,"Yes"
5.8,3,2,6.9,1,"Yes"
2.5,2,1,2.6,1,"Yes"
4.4,1,1,2.2,0.5,"No"
16.1,2,3,13.2,3.4,"Yes"
6.6,2,2,4.2,1.2,"Yes"
11.9,2,2,9.4,2.3,"Yes"
7.1,3,2,5.7,1.2,"Yes"
7.1,3,2,5.7,1.2,"Yes"
7.1,3,2,5.7,1.2,"Yes"
10.6,2,3,9.3,2.5,"No"
4.7,1,2,4.9,1.4,"Yes"
0.9,1,2,2,0.8,"No"
2.1,1,1,2.6,0.8,"No"
16.8,3,2,11,2.7,"Yes"
5.9,2,1,5,0.6,"No"
5.9,1,2,4.6,1.4,"Yes"
1.6,1,1,0.7,0.3,"No"
5.2,3,1,4.7,0.8,"Yes"
2.6,2,1,2,0.7,"Yes"
4.4,1,2,3.8,0.7,"No"
11,1,2,6.3,1.3,"No"
22.4,3,3,22,6.4,"Yes"
8.3,2,2,6.9,2.4,"Yes"
5.4,1,1,3.3,0.9,"Yes"
12.2,2,2,10.1,1.6,"Yes"
3.8,2,1,2.2,0.3,"Yes"
10.9,3,2,9.3,1.8,"Yes"
10,3,2,5,0.9,"Yes"
2.5,1,1,2.3,0.7,"No"
15.2,2,2,10.3,2,"No"
2.4,1,1,2.2,0.6,"No"
1.7,1,1,1.6,0.8,"Yes"
7.9,2,1,4.9,1,"No"
9.7,3,2,5.6,1.4,"Yes"
6.6,2,2,7.5,1.7,"Yes"
4.4,1,1,3.8,0.6,"No"
6.5,2,2,6.8,1.3,"Yes"
18.8,3,3,18.5,3.4,"Yes"
11.2,2,2,5.6,1.8,"Yes"
5.6,2,1,4,0.6,"No"
7.7,2,2,4.4,1,"No"
2.7,1,1,2.1,0.3,"No"
7.8,2,1,3.7,1.2,"No"
11.5,3,2,5.7,1.9,"Yes"
5.4,1,2,5.6,0.8,"No"
3.1,2,1,2.1,0.4,"Yes"
9.7,1,2,5.6,1,"Yes"
23.8,2,3,20,6.1,"No"
11.2,2,1,6.3,0.8,"Yes"
10.5,2,2,7.8,1.7,"Yes"
5.7,2,2,4.8,1.1,"No"
11,3,2,6.8,2.5,"Yes"
19.8,2,3,16.5,4.1,"Yes"
10.1,3,2,6.7,2.2,"Yes"
12.4,3,2,9,1.8,"No"
4.5,2,2,4.5,1.3,"No"
5.2,2,1,2.8,0.6,"No"
13,3,2,5.8,1.3,"Yes"
3.5,1,1,3.2,0.7,"No"
3,1,1,2.8,0.4,"No"
4,2,1,3.8,0.7,"No"
3.7,2,1,2.8,0.5,"Yes"
7.5,3,2,5.1,1.4,"Yes"
3.1,2,1,2.4,0.4,"No"
10.4,3,2,6.4,2.4,"Yes"
3.9,2,1,2.9,0.8,"Yes"
11.4,3,3,10.1,2.3,"Yes"
5.6,2,2,3.9,1,"Yes"
4.7,2,2,4.3,1.6,"Yes"
1.9,1,1,1.7,0.6,"No"
3.6,2,1,3.1,0.2,"No"
13.9,2,2,10.1,1.8,"Yes"
14.7,3,3,13.4,3,"Yes"
5.3,2,1,4.6,0.6,"No"
5.1,2,1,3.1,0.8,"No"
2.2,1,1,1.8,0.7,"No"
3.2,1,1,2.7,0.2,"No"
7.9,2,2,3.2,2.3,"Yes"
4.8,2,2,4.5,1.2,"Yes"
11.1,3,3,10,2.3,"Yes"
9.6,1,2,10.4,1.9,"Yes"
9.6,1,2,10.4,1.9,"Yes"
9.6,1,2,10.4,1.9,"Yes"
15.9,2,3,16.9,2.6,"Yes"
5,2,1,3.4,0.7,"Yes"
8,3,1,5.2,0.9,"Yes"
8.4,2,2,9,1.9,"Yes"
10.8,3,3,9.4,3.4,"Yes"
7.9,2,2,5.6,1.5,"No"
4.4,2,1,3.4,0.5,"No"
5.1,1,2,4.3,1.6,"Yes"
3.2,2,2,3.2,1.2,"No"
1.9,1,1,1.8,0.4,"Yes"
9.1,2,1,4.8,0.8,"Yes"
7.5,1,1,4,0.5,"Yes"
11.5,2,3,11,2.6,"No"
5.2,1,2,4.5,1.3,"Yes"
6.6,1,2,5.2,1.7,"No"
4.8,1,2,3.9,1.3,"No"
9.1,2,3,7,2.4,"No"
5.4,2,1,3.4,0.3,"No"
14.7,3,3,10.1,2.5,"Yes"
4.8,2,2,4.6,1.8,"Yes"
4.6,2,2,3.1,1.1,"Yes"
12.8,3,3,10.3,3.2,"Yes"
10.9,3,3,8.9,2.9,"Yes"
7.4,2,2,6.6,1.3,"Yes"
15.3,3,3,10.8,3.2,"Yes"
9,1,2,5.8,1,"No"
3.2,1,1,3.4,0.6,"No"
8.7,3,2,8.1,2.4,"Yes"
8.3,2,3,7.6,2.7,"Yes"
3.9,2,3,5.8,3.1,"No"
6.5,1,2,5.8,1.4,"Yes"
3.9,2,1,1.5,0.7,"No"
23.2,3,3,22.9,6.9,"Yes"
16.9,3,3,15.3,2.8,"Yes"
11.4,1,2,5.8,1.8,"No"
5.4,2,2,4.6,1.5,"Yes"
5.3,2,2,5,1.7,"Yes"
9.4,2,2,7.1,2.1,"Yes"
3.7,1,1,2.2,1,"No"
13.4,2,2,7.5,1.9,"Yes"
4.9,2,2,3.5,1.1,"Yes"
12.4,3,3,10.8,2.7,"Yes"
7.4,3,2,7,2.2,"No"
4.4,1,2,3.7,2,"No"
9.8,2,2,7.4,1.8,"Yes"
10.7,2,3,7.6,2.4,"Yes"
2.4,2,1,1.9,0.8,"No"
20,2,3,10,3,"Yes"
8.7,2,2,6.7,1.6,"Yes"
16.8,3,3,11,3,"Yes"
2.7,2,2,3.2,1.2,"Yes"
6,2,2,3.7,0.9,"No"
5.7,1,1,4.6,0.6,"No"
1.5,1,1,1.2,0.6,"Yes"
3.2,1,1,2.6,0.6,"Yes"
4.2,2,1,2.5,0.5,"Yes"
11.9,3,3,10,2.7,"Yes"
3.9,1,1,4,0.8,"No"
4.6,2,1,4.5,0.7,"Yes"
16,2,3,13.5,5.4,"Yes"
2.5,1,1,2.4,0.6,"No"
9.6,2,2,5.6,1.8,"No"
7.1,2,2,6.8,2,"Yes"
3.6,1,1,3.3,0.6,"Yes"
4.8,1,1,3,0.5,"No"
3.8,1,2,3.9,1.1,"No"
6.9,2,2,5.1,1.1,"No"
17.9,3,3,14.4,3.6,"Yes"
19.1,3,3,18.7,6.5,"Yes"
13.7,3,3,11.4,3.6,"No"
9.1,3,2,6.5,2,"Yes"
16.8,2,2,10.2,1.7,"Yes"
5.3,1,1,3.9,0.4,"Yes"
4.6,1,2,4.8,1.6,"No"
5.1,2,2,3.6,0.9,"Yes"
6.5,2,2,5.2,1.6,"Yes"
6.8,3,2,4.2,1.8,"No"
6.7,2,2,6.2,1.8,"Yes"
2.9,1,1,1.7,0.3,"No"
5,2,2,3.3,1.3,"Yes"
12,2,2,9.2,2.1,"Yes"
9.4,2,2,7.2,2,"Yes"
5.6,1,2,4.3,1,"No"
7.4,2,1,4.7,0.8,"Yes"
9.1,3,3,7.8,3.5,"Yes"
16.4,3,3,13.3,3.9,"Yes"
11.3,3,3,8.9,3.3,"Yes"
9.9,2,2,8.1,1.4,"No"
14.6,2,3,10.4,3.6,"Yes"
1.9,2,2,2.1,1.1,"No"
2.3,1,1,1.6,0.4,"No"
17.1,2,3,15.8,5,"Yes"
2.5,1,2,4.2,1.6,"No"
9.6,3,2,7.1,1.7,"Yes"
4.9,2,2,4.5,0.9,"Yes"
4.7,2,1,3.1,0.6,"Yes"
1.9,1,1,1.5,0.1,"Yes"
2.5,1,1,1.5,0.5,"Yes"
12.1,2,2,7.1,1.8,"Yes"
12.5,3,1,6.1,0.5,"No"
8.2,2,2,7.7,2,"No"
11.2,2,2,6,1.9,"No"
4.6,1,1,3.4,0.7,"No"
4.4,1,1,3.3,0.4,"Yes"
7.7,2,2,7.1,1.7,"No"
10.3,3,2,7.4,1.5,"Yes"
11.4,3,2,8.4,1.8,"No"
31.6,2,3,23.7,5.9,"Yes"
6.6,2,2,4.7,1.4,"Yes"
4.6,2,2,5.3,1.3,"Yes"
9.2,2,2,5.7,1.2,"Yes"
8.5,3,2,7.1,2,"Yes"
2.8,1,2,4.1,1.5,"No"
8.4,2,2,4.5,1.6,"Yes"
7.5,2,2,4.8,1.6,"Yes"
15.2,3,2,8.5,1.4,"Yes"
2.3,1,2,3,1.2,"No"
22,3,3,14.7,3.5,"No"
22,3,3,14.7,3.5,"Yes"
6,2,2,4.4,2.1,"Yes"
11.7,3,3,9.3,3.4,"Yes"
5.9,2,1,4.1,1,"Yes"
11.4,2,3,11,3,"Yes"
13.7,2,3,13.8,4.2,"Yes"
5.4,2,2,4.1,1.5,"Yes"
4.4,1,2,5.1,2.7,"No"
1.7,1,1,1.1,0.2,"No"
9.7,2,2,6.4,1.8,"No"
6.3,2,2,5.3,1.6,"Yes"
10.6,2,2,8.6,1.2,"Yes"
8.2,2,2,6.4,2,"Yes"
12.6,2,2,8.4,1.6,"Yes"
5,2,1,3.7,0.5,"No"
5.6,2,2,5.6,1.3,"Yes"
5.1,2,1,3.7,0.9,"Yes"
5.5,2,1,4.5,0.5,"No"
4.9,2,2,5.3,1.1,"No"
2.6,1,1,2.6,0.8,"No"
11.1,2,2,7,1.7,"Yes"
5.6,2,2,5.7,0.8,"Yes"
3.4,2,2,3.7,1.5,"Yes"
3.5,1,1,3,0.7,"No"
9,2,2,4.8,1.4,"Yes"
12.8,2,3,14.3,5.2,"No"
4.7,1,1,3.5,1.2,"No"
12.1,3,1,8.4,0.8,"Yes"
11.4,3,2,8.7,1.5,"Yes"
9,2,2,5.3,1.6,"Yes"
4.2,2,1,4.8,0.8,"No"
6.3,1,1,5.3,1,"No"
22.2,2,3,20.1,6.5,"Yes"
7.4,2,2,5.2,2.4,"Yes"
8.8,2,3,6.1,3.1,"Yes"
13.2,3,3,10.8,3.2,"No"
11,2,3,7.3,2.4,"Yes"
15.1,3,3,14.1,4.2,"Yes"
12.4,3,3,11.7,3.1,"Yes"
10.7,3,2,7.4,1.9,"Yes"
9.2,2,2,6.9,1.1,"No"
10.2,3,2,7.1,1.3,"Yes"
10.8,2,2,9.4,2.3,"No"
2.9,2,2,2.7,0.9,"Yes"
2.9,2,2,2.7,0.9,"Yes"
16.1,2,3,11.6,2.2,"No"
16.3,2,3,17,5.1,"Yes"
8.2,2,2,8,2.3,"No"
2,1,1,1.8,0.4,"Yes"
6.4,2,2,3.6,1.3,"No"
7.3,2,2,6.6,0.9,"Yes"
8.5,3,3,7.9,3,"No"
4.3,1,2,3.4,0.8,"No"
11.1,3,2,9,1.2,"Yes"
10.4,3,3,9.4,2.4,"Yes"
12.7,3,2,10.4,1.3,"Yes"
4.7,2,2,4,0.9,"Yes"
4.6,2,2,5.2,1.2,"No"
2.4,2,1,2.6,0.6,"No"
8.8,2,2,6.7,1.7,"Yes"
24.1,3,3,18.6,3.6,"Yes"
11,2,3,12,3.9,"Yes"
12.7,2,2,7,1.9,"No"
7.6,1,2,4.7,1.4,"No"
2.9,1,1,3.3,0.8,"No"
9.5,1,2,7.3,1.5,"Yes"
8.1,2,2,6.1,1.7,"No"
11.1,2,3,10.1,2.3,"No"
3.8,1,1,2.8,0.7,"Yes"
