"","Name","GP","MIN","PTS","FGM","FGA","FG.","X3P.Made","X3PA","X3P.","FTM"
"257","Dave Hoppen","Low","Moderate",5.7,"Moderate",4.7,"Moderate","Low",0,"Low","Moderate"
"258","Dallas Comegys","Moderate","Moderate",5.6,"Moderate",4.8,"Moderate","Low",0,"Low","Moderate"
"259","Mark Acres","High","Moderate",3.6,"Low",2.6,"Moderate","Low",0,"Low","Moderate"
"260","Michael Jackson","Moderate","Moderate",2.7,"Low",2.9,"Low","Moderate",0.4,"Moderate","Low"
"261","Tony White","Moderate","Moderate",5.3,"Moderate",5.1,"Moderate","Low",0.1,"Low","Moderate"
"262","Brad Lohaus","Moderate","Low",4.2,"Moderate",3.5,"Moderate","Low",0.2,"Moderate","Moderate"
"263","Milt Wagner","Low","Low",3.8,"Moderate",3.7,"Moderate","Moderate",0.3,"Moderate","Moderate"
"264","Chris Dudley","Moderate","Low",3.1,"Low",2.5,"Moderate","Low",0,"Low","Moderate"
"265","Clinton Wheeler","Moderate","Low",2.5,"Low",2.2,"Moderate","Low",0,"Low","Low"
"266","Billy Donovan","Low","Low",2.4,"Low",2.5,"Moderate","Low",0.2,"Low","Low"
"267","Reggie Lewis","Moderate","Low",4.5,"Moderate",3.9,"Moderate","Low",0.1,"Low","Moderate"
"268","Martin Nessley","Low","Low",1.1,"Low",1.2,"Low","Low",0,"Low","Low"
"269","John Stroeder","Low","Low",1.9,"Low",1.9,"Low","Low",0,"Low","Low"
"270","Bart Kofoed","Low","Low",1.3,"Low",1.3,"Low","Moderate",0.2,"Moderate","Low"
"271","Ray McCallum","Low","Moderate",6.2,"Moderate",6.7,"Low","Moderate",1.3,"Moderate","Moderate"
"272","Ralph Lewis","Moderate","Low",1.7,"Low",1.7,"Low","Low",0,"Low","Low"
"273","Ron Harper","High","High",22.9,"High",19.7,"Moderate","Moderate",1.1,"Moderate","High"
"274","Chuck Person","High","High",18.8,"High",16.6,"Moderate","Moderate",1.7,"Moderate","High"
"275","Hot Rod Williams","High","High",14.6,"Moderate",11.2,"Moderate","Low",0,"Low","High"
"276","Brad Daugherty","High","High",15.7,"Moderate",11.3,"Moderate","Low",0,"Low","High"
"277","Nate McMillan","Moderate","High",5.3,"Moderate",4.2,"Moderate","Low",0.1,"Low","Moderate"
"278","Kenny Walker","Moderate","High",10.4,"Moderate",8.5,"Moderate","Low",0.1,"Low","High"
"279","Walter Berry","Moderate","High",15.9,"High",12.2,"Moderate","Low",0,"Low","High"
"280","John Williams","High","Moderate",9.2,"Moderate",8,"Moderate","Moderate",0.5,"Moderate","High"
"281","Kentavious Caldwell-Pope","High","Moderate",5.9,"Moderate",5.8,"Low","Moderate",2.3,"Moderate","Low"
"282","Brad Sellers","High","Moderate",8.5,"Moderate",7.6,"Moderate","Low",0.1,"Moderate","Moderate"
"283","David Wingate","Moderate","Moderate",8.8,"Moderate",7.8,"Moderate","Moderate",0.7,"Moderate","High"
"284","Johnny Dawkins","High","Moderate",10.3,"Moderate",9.4,"Moderate","Moderate",0.6,"Moderate","High"
"285","William Bedford","Moderate","Moderate",6.7,"Moderate",7.2,"Low","Low",0,"Low","Moderate"
"286","Jeff Hornacek","High","Moderate",5.3,"Moderate",4.4,"Moderate","Moderate",0.5,"Moderate","Moderate"
"287","Roy Tarpley","Moderate","Moderate",7.5,"Moderate",6.7,"Moderate","Low",0,"Moderate","Moderate"
"288","Mark Price","Moderate","Moderate",6.9,"Moderate",6.3,"Moderate","Moderate",1,"Moderate","Moderate"
"289","John Salley","High","Moderate",5.3,"Moderate",3.5,"Moderate","Low",0,"Low","Moderate"
"290","Mark Alarie","Moderate","Moderate",7.9,"Moderate",6.9,"Moderate","Low",0.1,"Moderate","Moderate"
"291","Ben Coleman","Moderate","Moderate",6.6,"Moderate",4.6,"Moderate","Low",0,"Low","Moderate"
"292","Dennis Rodman*","Moderate","Moderate",6.5,"Moderate",5.1,"Moderate","Low",0,"Low","Moderate"
"293","Larry Krystkowiak","Moderate","Moderate",6.6,"Moderate",5.5,"Moderate","Low",0.2,"Moderate","Moderate"
"294","Kenny Gattison","Moderate","Moderate",5.2,"Moderate",4,"Moderate","Low",0,"Low","Moderate"
"295","Tim Kempton","Moderate","Moderate",4.4,"Moderate",3.1,"Moderate","Low",0,"Low","Moderate"
"296","Harold Pressley","Moderate","Moderate",4.6,"Moderate",4.7,"Moderate","Moderate",0.4,"Moderate","Low"
"297","Kevin Duckworth","Moderate","Moderate",5.4,"Moderate",4.2,"Moderate","Low",0,"Low","Moderate"
"298","Anthony Jones","Moderate","Moderate",5,"Moderate",5,"Moderate","Moderate",0.3,"Moderate","Moderate"
"299","Mike Brown","Moderate","Moderate",4.2,"Moderate",3.2,"Moderate","Low",0,"Low","Moderate"
"300","Grant Gondrezick","Moderate","Moderate",5.5,"Moderate",4.7,"Moderate","Moderate",0.3,"Moderate","Moderate"
"301","Billy Thompson","Moderate","Moderate",5.6,"Moderate",4.4,"Moderate","Low",0,"Low","Moderate"
"302","Mason Plumlee","Moderate","Moderate",7.4,"Moderate",4.3,"High","Low",0,"Low","Moderate"
"303","Rafael Addison","Moderate","Moderate",5.8,"Moderate",5.3,"Moderate","Moderate",0.8,"Moderate","Moderate"
"304","Chris Washburn","Low","Moderate",3.8,"Moderate",4.1,"Low","Low",0,"Low","Low"
"305","Keith Smith","Low","Moderate",3.3,"Low",3.6,"Low","Moderate",0.2,"Moderate","Low"
"306","Johnny Newman","Moderate","Low",5,"Moderate",4.7,"Moderate","Low",0.4,"Moderate","Moderate"
"307","Johnny Rogers","Low","Low",4.2,"Moderate",4.1,"Moderate","Low",0.1,"Low","Low"
"308","Dell Curry","Moderate","Low",4.9,"Moderate",4.9,"Moderate","Moderate",0.9,"Moderate","Low"
"309","Buck Johnson","Moderate","Low",3.8,"Moderate",3.4,"Moderate","Low",0,"Low","Moderate"
"310","Clinton Smith","Low","Low",3.1,"Low",2.9,"Moderate","Low",0,"Low","Moderate"
"311","Dave Feitl","Moderate","Low",3.7,"Low",3.3,"Moderate","Low",0,"Low","Moderate"
"312","Bob Martin","Low","Low",3.4,"Low",3.1,"Low","Moderate",0.3,"Moderate","Moderate"
"313","Bob Martin","Moderate","Low",2.1,"Low",1.7,"Moderate","Low",0,"Low","Low"
"314","Conner Henry","Moderate","Low",2.3,"Low",2.5,"Low","Moderate",0.8,"Moderate","Low"
"315","Patrick Ewing","Moderate","High",20,"High",16.3,"Moderate","Low",0.1,"Low","High"
"316","Xavier McDaniel","High","High",17.1,"High",14.3,"Moderate","Low",0.1,"Moderate","High"
"317","Karl Malone*","High","High",14.9,"Moderate",12.5,"Moderate","Low",0,"Low","High"
"318","Wayman Tisdale","High","High",14.7,"Moderate",12.4,"Moderate","Low",0,"Low","High"
"319","Benoit Benjamin","High","High",11.1,"Moderate",8.4,"Moderate","Low",0,"Moderate","High"
"320","Chris Mullin*","Moderate","High",14,"Moderate",11.3,"Moderate","Moderate",0.5,"Moderate","High"
"321","Gerald Wilkins","High","High",12.5,"Moderate",11.5,"Moderate","Moderate",0.3,"Moderate","Moderate"
"322","Joe Dumars*","High","High",9.4,"Moderate",7.3,"Moderate","Moderate",0.2,"Moderate","High"
"323","Cody Zeller","High","Moderate",6,"Moderate",4.9,"Moderate","Low",0,"Low","High"
"324","Charles Oakley","Moderate","High",9.6,"Moderate",7,"Moderate","Low",0,"Low","High"
"325","Jon Koncak","High","Moderate",8.3,"Moderate",6.3,"Moderate","Low",0,"Low","High"
"326","Keith Lee","Moderate","Moderate",7.4,"Moderate",6.6,"Moderate","Low",0.2,"Moderate","Moderate"
"327","Ed Pinckney","High","Moderate",8.5,"Moderate",5.7,"Moderate","Low",0,"Low","High"
"328","A.C. Green","High","Moderate",6.4,"Moderate",4.7,"Moderate","Low",0.1,"Moderate","Moderate"
"329","Bob Thornton","Moderate","Moderate",4.7,"Moderate",3.9,"Moderate","Low",0,"Low","Moderate"
"330","Terry Catledge","Moderate","Moderate",7.7,"Moderate",6.7,"Moderate","Low",0.1,"Low","Moderate"
"331","Spud Webb","High","Moderate",7.8,"Moderate",5.2,"Moderate","Low",0.1,"Moderate","High"
"332","Terry Porter","High","Moderate",7.1,"Moderate",5.7,"Moderate","Moderate",0.5,"Moderate","Moderate"
"333","Marquese Chriss","Low","Moderate",7,"Moderate",6.3,"Moderate","Moderate",2.1,"Moderate","Moderate"
"334","Nick Calathes","Moderate","Moderate",4.9,"Moderate",4.4,"Moderate","Moderate",0.9,"Moderate","Low"
"335","Carey Scurry","High","Moderate",4.7,"Moderate",3.9,"Moderate","Low",0.1,"Moderate","Moderate"
"336","Dirk Minniefield","Moderate","Moderate",5.5,"Moderate",4.6,"Moderate","Moderate",0.5,"Moderate","Moderate"
"337","Joe Kleine","High","Moderate",5.2,"Moderate",4.3,"Moderate","Low",0,"Low","Moderate"
"338","Alfredrick Hughes","Moderate","Moderate",5.2,"Moderate",5.5,"Moderate","Low",0.3,"Moderate","Moderate"
"342","Bill Martin","Moderate","Low",5,"Moderate",4.5,"Moderate","Low",0.1,"Low","Moderate"
"343","Tony Snell","Moderate","Moderate",4.5,"Moderate",4.4,"Low","Moderate",2.3,"Moderate","Low"
"344","Fred Cofield","Low","Low",3.7,"Moderate",4.1,"Moderate","Moderate",0.3,"Moderate","Low"
"345","Dwayne McClain","Low","Low",3.5,"Moderate",4,"Low","Low",0.2,"Moderate","Low"
"346","John Battle","Moderate","Low",4.3,"Moderate",3.5,"Moderate","Low",0.1,"Low","Moderate"
"347","Jerry Reynolds","Moderate","Low",3.7,"Low",2.9,"Moderate","Low",0,"Moderate","Moderate"
"348","Steve Harris","Moderate","Low",4.5,"Moderate",4.1,"Moderate","Low",0.1,"Moderate","Moderate"
"349","Lorenzo Charles","Low","Low",3.4,"Low",2.4,"Moderate","Low",0,"Low","Moderate"
"350","Sam Vincent","Moderate","Low",3.2,"Low",2.8,"Low","Low",0.1,"Moderate","Moderate"
"351","Blair Rasmussen","Moderate","Low",3.2,"Low",3.1,"Moderate","Low",0,"Low","Low"
"352","Phil Pressey","Moderate","Moderate",2.8,"Low",3.4,"Low","Moderate",1.4,"Moderate","Low"
"353","Michael Jordan*","High","High",28.2,"High",19.8,"Moderate","Moderate",0.6,"Moderate","High"
"354","Vern Fleming","High","High",14.1,"Moderate",11.5,"Moderate","Low",0.1,"Low","High"
"355","Sam Bowie","Moderate","High",10,"Moderate",7.3,"Moderate","Low",0,"Low","High"
"356","Charles Barkley*","High","High",14,"Moderate",9.5,"Moderate","Low",0.1,"Moderate","High"
"357","Sam Perkins","High","High",11,"Moderate",9,"Moderate","Moderate",0.4,"Moderate","High"
"358","Jay Humphries","High","High",8.8,"Moderate",7.8,"Moderate","Moderate",0.3,"Moderate","High"
"360","Otis Thorpe","High","High",12.8,"Moderate",8.4,"High","Low",0,"Low","High"
"361","Kevin Willis","High","Moderate",9.3,"Moderate",8.4,"Moderate","Low",0.1,"Moderate","Moderate"
"362","Michael Cage","Moderate","Moderate",7.1,"Moderate",5.3,"Moderate","Low",0,"Low","Moderate"
"363","Alvin Robertson","High","Moderate",9.2,"Moderate",7.6,"Moderate","Moderate",0.1,"Moderate","Moderate"
"364","Tim McCormick","High","Moderate",9.3,"Moderate",6.2,"Moderate","Low",0,"Low","High"
"365","Charles Jones","High","Moderate",8.4,"Moderate",5.8,"Moderate","Low",0.1,"Low","High"
"366","Charles Jones","High","Moderate",8.4,"Moderate",5.8,"Moderate","Low",0.1,"Low","High"
"367","Charles Jones","High","Moderate",8.4,"Moderate",5.8,"Moderate","Low",0.1,"Low","High"
"368","Charles Jones","Low","Moderate",3.7,"Low",4.2,"Low","Moderate",2.1,"Moderate","Low"
"369","Charles Jones","Low","Moderate",3.7,"Low",4.2,"Low","Moderate",2.1,"Moderate","Low"
"370","Charles Jones","Low","Moderate",3.7,"Low",4.2,"Low","Moderate",2.1,"Moderate","Low"
"371","Jeff Turner","Moderate","Moderate",5.8,"Moderate",5.2,"Moderate","Low",0,"Low","Moderate"
"372","Tony Brown","High","Moderate",6.6,"Moderate",5.7,"Moderate","Low",0.1,"Low","Moderate"
"373","Antoine Carr","Moderate","Moderate",8,"Moderate",6,"Moderate","Low",0.1,"Moderate","Moderate"
"374","Steve Colter","High","Moderate",7.1,"Moderate",6.1,"Moderate","Moderate",0.9,"Moderate","Moderate"
"375","Ken Bannister","Moderate","Moderate",6.8,"Moderate",5.9,"Moderate","Low",0,"Low","Moderate"
"376","John Stockton*","High","Moderate",5.6,"Moderate",4.1,"Moderate","Low",0.1,"Moderate","Moderate"
"377","Terence Stansbury","Moderate","Moderate",7.1,"Moderate",6.2,"Moderate","Moderate",0.3,"Moderate","Moderate"
"378","Othell Wilson","Moderate","Moderate",4.4,"Moderate",3.9,"Moderate","Low",0.2,"Moderate","Moderate"
"379","Eddie Lee Wilkins","Moderate","Moderate",5.5,"Moderate",4.3,"Moderate","Low",0,"Low","Moderate"
"380","Chuck Aleksinas","Moderate","Moderate",5.1,"Moderate",4.6,"Moderate","Low",0,"Low","Moderate"
"381","Ron Anderson","Low","Moderate",5.8,"Moderate",5.4,"Moderate","Low",0.1,"Moderate","Moderate"
"382","Frank Brickowski","High","Moderate",4.9,"Moderate",3.9,"Moderate","Low",0.1,"Low","Moderate"
"383","Ozell Jones","Moderate","Moderate",3.7,"Moderate",2.7,"Moderate","Low",0,"Low","Low"
"384","Devin Durrant","Moderate","Moderate",5.1,"Moderate",4.6,"Moderate","Low",0.1,"Low","Moderate"
"385","Jerome Kersey","Moderate","Moderate",6.1,"Moderate",4.8,"Moderate","Low",0,"Low","Moderate"
"386","Ron Cavenall","Moderate","Moderate",1.5,"Low",1.6,"Low","Low",0,"Low","Low"
"388","Tony Campbell","Moderate","Moderate",5.6,"Moderate",4.7,"Moderate","Low",0,"Low","Moderate"
"389","Lancaster Gordon","Moderate","Low",4.1,"Moderate",4.6,"Low","Low",0.1,"Moderate","Low"
"390","Gary Plummer","Moderate","Low",3.8,"Low",3.5,"Low","Low",0.1,"Moderate","Moderate"
"391","Kenny Fields","Moderate","Low",3.8,"Moderate",3.7,"Moderate","Low",0,"Low","Low"
"392","Cory Blackwell","Moderate","Low",3.4,"Moderate",4,"Low","Low",0,"Low","Low"
"393","Bernard Thompson","Moderate","Low",3.3,"Low",3.6,"Low","Low",0.1,"Low","Moderate"
"394","Peter Thibeaux","Moderate","Low",4.5,"Moderate",3.8,"Moderate","Low",0,"Low","Moderate"
"395","Steve Burtt","Low","Low",4.2,"Moderate",4,"Low","Low",0,"Low","Moderate"
"396","Leon Wood","Low","Low",3.2,"Low",3.5,"Low","Moderate",0.8,"Moderate","Low"
"397","Charlie Sitton","Low","Low",2.1,"Low",2.2,"Moderate","Low",0,"Low","Low"
"399","Willie White","Low","Low",3.3,"Low",3.2,"Moderate","Moderate",0.3,"Moderate","Low"
"400","Rick Carlisle","Low","Low",1.8,"Low",1.8,"Low","Low",0.1,"Low","Low"
"401","Ralph Sampson*","High","High",21,"High",16.7,"Moderate","Low",0,"Moderate","High"
"402","Steve Stipanovich","High","High",12,"Moderate",10.1,"Moderate","Low",0.2,"Moderate","High"
"403","Ennis Whatley","High","High",8.4,"Moderate",7,"Moderate","Low",0,"Low","High"
"404","Rodney McCray","High","High",10.8,"Moderate",8.5,"Moderate","Low",0.1,"Moderate","High"
"405","Anthony Bonner","Moderate","Moderate",4.2,"Moderate",4.3,"Low","Moderate",1,"Moderate","Moderate"
"406","Mitchell Wiggins","High","High",12.4,"Moderate",10.9,"Moderate","Moderate",0.4,"Moderate","High"
"407","Thurl Bailey","High","High",8.5,"Moderate",7.3,"Moderate","Low",0,"Low","Moderate"
"408","Jeff Malone","High","High",12.1,"Moderate",11.3,"Moderate","Moderate",0.9,"Moderate","High"
"409","Doc Rivers","High","High",9.3,"Moderate",6.7,"Moderate","Low",0.1,"Moderate","High"
"410","Roy Hinson","High","High",5.5,"Moderate",4.6,"Moderate","Low",0,"Low","Moderate"
"411","Byron Scott","Moderate","Moderate",10.6,"Moderate",9.3,"Moderate","Moderate",0.5,"Moderate","Moderate"
"412","Paul Thompson","High","Moderate",9,"Moderate",8.1,"Moderate","Moderate",0.5,"Moderate","Moderate"
"413","Derek Harper","High","Moderate",5.7,"Moderate",5.5,"Moderate","Low",0.3,"Moderate","Moderate"
"414","Fred Roberts","High","Moderate",7.3,"Moderate",5.1,"Moderate","Low",0.1,"Moderate","High"
"415","Rod Foster","High","Moderate",8.3,"Moderate",7.3,"Moderate","Moderate",1.1,"Moderate","Moderate"
"416","Dewayne Dedmon","Low","Moderate",3.1,"Low",2.7,"Moderate","Low",0,"Low","Moderate"
"417","Jon Sundvold","Moderate","Moderate",6.9,"Moderate",6.7,"Moderate","Moderate",0.5,"Moderate","Moderate"
"418","Clyde Drexler*","High","Moderate",7.7,"Moderate",6.8,"Moderate","Low",0,"Moderate","Moderate"
"419","Jim Thomas","Moderate","Moderate",6.3,"Moderate",5.6,"Moderate","Low",0.2,"Moderate","Moderate"
"420","Darrell Walker","High","Moderate",7.9,"Moderate",6.3,"Moderate","Low",0.2,"Moderate","High"
"421","Sidney Lowe","High","Moderate",4.2,"Low",3.3,"Moderate","Low",0.2,"Moderate","Moderate"
"422","Dale Ellis","Moderate","Moderate",8.2,"Moderate",7.4,"Moderate","Moderate",0.4,"Moderate","Moderate"
"423","Darren Daye","Moderate","Moderate",6.1,"Moderate",5.4,"Moderate","Low",0.1,"Low","Moderate"
"424","Randy Wittman","High","Moderate",4.5,"Moderate",4.1,"Moderate","Low",0.1,"Moderate","Low"
"425","Sidney Green","Moderate","Moderate",5.2,"Moderate",4.7,"Moderate","Low",0,"Low","Moderate"
"426","Granville Waiters","High","Moderate",3.6,"Moderate",3.1,"Moderate","Low",0,"Low","Low"
"427","C.J. McCollum","Low","Moderate",5.3,"Moderate",4.7,"Moderate","Moderate",2.1,"Moderate","Low"
"428","Howard Carter","Moderate","Moderate",6.2,"Moderate",5.7,"Moderate","Moderate",0.3,"Moderate","Moderate"
"429","Dane Suttle","Low","Moderate",6.5,"Moderate",5.4,"Moderate","Low",0.1,"Low","Moderate"
"430","Scooter McCray","Low","Moderate",2.7,"Low",2.6,"Low","Low",0,"Low","Moderate"
"431","Sedale Threatt","Low","Low",3.3,"Low",3.3,"Moderate","Low",0.2,"Moderate","Low"
"432","John Paxson","Moderate","Low",2.9,"Low",2.8,"Moderate","Moderate",0.4,"Moderate","Low"
"433","Leroy Combs","Moderate","Low",4.5,"Moderate",3.4,"Moderate","Low",0.1,"Low","Moderate"
"434","Larry Micheaux","Low","Low",3.1,"Low",2.3,"Moderate","Low",0,"Low","Low"
"435","Randy Breuer","Moderate","Low",2.9,"Low",3.1,"Low","Low",0,"Low","Low"
"436","Pace Mannion","Moderate","Low",2.1,"Low",2.2,"Low","Moderate",0.2,"Moderate","Low"
"437","Kris Dunn","Low","Moderate",4.1,"Moderate",4.1,"Low","Moderate",0.9,"Moderate","Moderate"
"438","Robbie Hummel","Moderate","Moderate",3.4,"Low",3.3,"Low","Moderate",1.7,"Moderate","Low"
"439","Bruce Kuczenski","Low","Low",1.9,"Low",2.5,"Low","Low",0,"Low","Low"
"440","Russell Cross","Low","Low",3.7,"Low",2.5,"Moderate","Low",0,"Low","Moderate"
"441","Bob Hansen","Moderate","Low",2.7,"Low",2.6,"Moderate","Low",0.1,"Low","Low"
"442","Greg Kite","Low","Low",1.9,"Low",1.9,"Moderate","Low",0,"Low","Low"
"443","Terry Cummings","Moderate","High",23.7,"High",18.7,"Moderate","Low",0,"Low","High"
"444","Clark Kellogg","High","High",20.1,"High",17.5,"Moderate","Low",0.2,"Moderate","High"
"445","Quintin Dailey","Moderate","High",15.1,"Moderate",13.3,"Moderate","Moderate",0.3,"Moderate","High"
"446","Rod Higgins","High","High",10.3,"Moderate",8.5,"Moderate","Moderate",0.5,"Moderate","High"
"447","Craig Hodges","Moderate","High",9.9,"Moderate",9.3,"Moderate","Moderate",1.2,"Moderate","Moderate"
"448","Jeff Withey","Moderate","Moderate",3.3,"Low",2.2,"Moderate","Low",0,"Low","Moderate"
"449","James Worthy*","Moderate","High",13.4,"Moderate",10,"Moderate","Low",0.1,"Moderate","High"
"450","Trent Tucker","High","High",8.4,"Moderate",8.3,"Moderate","Moderate",0.4,"Moderate","Low"
"451","Terry Teagle","Moderate","High",10.4,"Moderate",10.6,"Moderate","Moderate",0.4,"Moderate","Moderate"
"452","Marc Iavaroni","High","Moderate",5.1,"Moderate",4.4,"Moderate","Low",0,"Low","Moderate"
"453","Ed Nealy","High","Moderate",4.4,"Moderate",3,"High","Low",0,"Low","Moderate"
"454","Rob Williams","Moderate","Moderate",7,"Moderate",6.3,"Moderate","Low",0.2,"Moderate","High"
"455","Jerry Eaves","High","Moderate",9.3,"Moderate",7,"Moderate","Low",0.1,"Moderate","High"
"456","Paul Pressey","High","Moderate",6.7,"Moderate",5.9,"Moderate","Low",0.1,"Moderate","Moderate"
"457","Brandon Davies","Moderate","Moderate",2.8,"Low",2.5,"Moderate","Low",0.2,"Moderate","Moderate"
"458","Lester Conner","Moderate","Moderate",4.9,"Moderate",4,"Moderate","Low",0.1,"Low","Moderate"
"459","Mark Eaton","High","Moderate",4.3,"Moderate",4.4,"Moderate","Low",0,"Low","Moderate"
"460","Bill Garnett","Moderate","Moderate",6.3,"Moderate",4.3,"Moderate","Low",0,"Low","Moderate"
"461","Jeff Taylor","Low","Moderate",3.6,"Moderate",3.6,"Low","Low",0,"Low","Moderate"
"462","Jeff Taylor","Moderate","Moderate",6.1,"Moderate",5.2,"Moderate","Moderate",2,"Moderate","Moderate"
"463","Bryan Warrick","Low","Moderate",4,"Moderate",4,"Low","Low",0.1,"Low","Moderate"
"464","Sleepy Floyd","Moderate","Moderate",8.1,"Moderate",6.9,"Moderate","Moderate",0.3,"Moderate","High"
"465","Richard Anderson","High","Moderate",5.2,"Moderate",5.5,"Moderate","Moderate",0.2,"Moderate","Low"
"466","Russ Schoene","Moderate","Moderate",6.2,"Moderate",5.6,"Moderate","Low",0.1,"Moderate","Moderate"
"467","John Bagley","Moderate","Moderate",5.7,"Moderate",5.5,"Moderate","Low",0.2,"Low","Moderate"
"468","Archie Goodwin","Moderate","Low",3.7,"Moderate",3.2,"Moderate","Moderate",0.7,"Moderate","Moderate"
"469","Cliff Levingston","Moderate","Moderate",5.6,"Moderate",4.4,"Moderate","Low",0,"Low","Moderate"
"470","LaSalle Thompson","Moderate","Moderate",5.4,"Moderate",4,"Moderate","Low",0,"Low","Moderate"
"471","Bruce Flowers","Moderate","Moderate",4.9,"Moderate",3.9,"Moderate","Low",0,"Low","Moderate"
"472","Corny Thompson","Low","Moderate",2.8,"Low",3.1,"Low","Low",0,"Low","Moderate"
"473","Walker Russell","Moderate","Moderate",2.7,"Low",2.7,"Low","Low",0.3,"Moderate","Moderate"
"474","Walker Russell","Moderate","Moderate",2.7,"Low",2.7,"Low","Low",0.3,"Moderate","Moderate"
"475","David Thirdkill","Moderate","Low",4,"Moderate",3.5,"Moderate","Low",0.1,"Moderate","Moderate"
"476","Dave Batton","Moderate","Low",3.3,"Moderate",3.5,"Moderate","Low",0.1,"Low","Low"
"477","Darren Tillis","Moderate","Low",3.2,"Moderate",3.5,"Moderate","Low",0,"Low","Low"
"478","Brook Steppe","Moderate","Low",4,"Low",2.8,"Moderate","Low",0.1,"Moderate","Moderate"
"479","Rory White","Moderate","Low",5,"Moderate",3.6,"Moderate","Low",0,"Low","Moderate"
"480","Andre Roberson","Low","Low",1.9,"Low",1.7,"Moderate","Moderate",0.3,"Moderate","Low"
"481","Linton Townes","Moderate","Low",4.5,"Moderate",4.3,"Moderate","Moderate",0.5,"Moderate","Low"
"482","Eddie Phillips","Moderate","Low",3.2,"Low",2.9,"Moderate","Low",0,"Low","Moderate"
"483","Jim Johnstone","Low","Low",1.3,"Low",1.3,"Low","Low",0,"Low","Low"
"484","Jose Slaughter","Moderate","Low",3.6,"Low",3.8,"Low","Moderate",0.7,"Moderate","Low"
"485","Rickey Williams","Low","Low",3.3,"Low",3.1,"Moderate","Low",0.1,"Low","Moderate"
"486","Chris Engler","Moderate","Low",1.5,"Low",1.7,"Moderate","Low",0,"Low","Low"
"487","Ricky Pierce","Low","Low",2.2,"Low",2.3,"Low","Low",0.2,"Moderate","Low"
"488","Mark McNamara","Low","Low",2.2,"Low",1.8,"Moderate","Low",0,"Low","Low"
"489","Scott Hastings","Low","Low",1.2,"Low",1.2,"Low","Low",0.1,"Low","Low"
"490","Oliver Robinson","Low","Low",2.9,"Low",2.8,"Low","Low",0.3,"Moderate","Moderate"
"491","Kelly Tripucka","High","High",21.6,"High",15.6,"Moderate","Moderate",0.3,"Moderate","High"
"492","Buck Williams","High","High",15.5,"Moderate",10.7,"Moderate","Low",0,"Low","High"
"493","Isiah Thomas*","Moderate","High",17,"Moderate",14.8,"Moderate","Moderate",0.8,"Moderate","High"
"494","Tom Chambers","High","High",17.2,"High",13,"Moderate","Low",0,"Low","High"
"495","Jay Vincent","High","High",21.4,"High",17.9,"Moderate","Low",0,"Moderate","High"
"496","Mark Aguirre","Moderate","High",18.7,"High",16.1,"Moderate","Moderate",1.4,"Moderate","High"
"497","Herb Williams","High","High",11.5,"Moderate",10.4,"Moderate","Low",0.1,"Moderate","Moderate"
"498","Jeff Ruland","High","High",14.4,"Moderate",9.1,"Moderate","Low",0,"Moderate","High"
"499","Frank Johnson","High","High",10.7,"Moderate",10.3,"Moderate","Moderate",1,"Moderate","High"
"500","Elston Turner","High","High",8.3,"Moderate",8,"Moderate","Low",0.1,"Low","Moderate"
"501","Steve Johnson","High","Moderate",12.8,"Moderate",8.3,"High","Low",0,"Low","High"
"502","Albert King","Moderate","Moderate",12.1,"Moderate",10.7,"Moderate","Low",0.2,"Moderate","High"
"503","Gene Banks","High","Moderate",9.6,"Moderate",8.2,"Moderate","Low",0.1,"Low","High"
"504","Eddie Johnson","Moderate","Moderate",9.3,"Moderate",8.7,"Moderate","Low",0.1,"Moderate","Moderate"
"505","Eddie Johnson","Moderate","Moderate",9.3,"Moderate",8.7,"Moderate","Low",0.1,"Moderate","Moderate"
"506","Danny Schayes","High","Moderate",7.9,"Moderate",6.4,"Moderate","Low",0,"Low","Moderate"
"507","Rudy Macklin","High","Moderate",7,"Moderate",6.1,"Moderate","Low",0,"Low","Moderate"
"509","Kurt Rambis","Moderate","Moderate",4.6,"Moderate",3.6,"Moderate","Low",0,"Low","Moderate"
"512","Darnell Valentine","High","Moderate",6.4,"Moderate",5.5,"Moderate","Low",0.1,"Low","High"
"513","Jim Brogan","Moderate","Moderate",6.3,"Moderate",5.8,"Moderate","Moderate",0.5,"Moderate","Moderate"
"514","John Douglas","Moderate","Moderate",7,"Moderate",6.1,"Moderate","Moderate",0.9,"Moderate","Moderate"
"515","Kevin Loder","Moderate","Moderate",6.9,"Moderate",6.3,"Moderate","Low",0.2,"Low","Moderate"
"516","Orlando Woolridge","Moderate","Moderate",7.3,"Moderate",5.3,"Moderate","Low",0,"Low","High"
"517","Alton Lister","High","Moderate",4.5,"Moderate",3.6,"Moderate","Low",0,"Low","Moderate"
"518","Larry Nance","High","Moderate",6.6,"Moderate",5.5,"Moderate","Low",0,"Low","Moderate"
"519","Danny Vranes","Moderate","Moderate",4.9,"Moderate",3.4,"Moderate","Low",0,"Low","Moderate"
"520","Ed Rains","Moderate","Moderate",3.9,"Moderate",3.6,"Moderate","Low",0,"Low","Moderate"
"521","Peyton Siva","Low","Low",2.3,"Low",2.4,"Low","Moderate",1,"Moderate","Low"
"523","Jeff Lamp","Moderate","Moderate",4.6,"Moderate",3.6,"Moderate","Low",0,"Low","Moderate"
"524","Ray Blume","Moderate","Moderate",4.6,"Moderate",4.5,"Moderate","Moderate",0.4,"Moderate","Low"
